Iteration,Best Accuracy,Best Kernel,Best Nu
0,0.6666666666666666,poly,0.9811939108205325
1,0.6666666666666666,poly,0.9811939108205325
2,0.7407407407407407,rbf,0.049519557361769224
3,0.7407407407407407,rbf,0.049519557361769224
4,0.7407407407407407,rbf,0.049519557361769224
5,0.7407407407407407,rbf,0.049519557361769224
6,0.7407407407407407,rbf,0.049519557361769224
7,0.9629629629629629,linear,0.2295656560360218
8,0.9629629629629629,linear,0.2295656560360218
9,0.9629629629629629,linear,0.2295656560360218
10,0.9629629629629629,linear,0.2295656560360218
11,0.9629629629629629,linear,0.2295656560360218
12,0.9629629629629629,linear,0.2295656560360218
13,0.9629629629629629,linear,0.2295656560360218
14,0.9629629629629629,linear,0.2295656560360218
15,0.9629629629629629,linear,0.2295656560360218
16,0.9629629629629629,linear,0.2295656560360218
17,0.9629629629629629,linear,0.2295656560360218
18,0.9629629629629629,linear,0.2295656560360218
19,0.9629629629629629,linear,0.2295656560360218
20,0.9629629629629629,linear,0.2295656560360218
21,0.9629629629629629,linear,0.2295656560360218
22,0.9629629629629629,linear,0.2295656560360218
23,0.9629629629629629,linear,0.2295656560360218
24,0.9629629629629629,linear,0.2295656560360218
25,0.9629629629629629,linear,0.2295656560360218
26,0.9629629629629629,linear,0.2295656560360218
27,0.9629629629629629,linear,0.2295656560360218
28,0.9629629629629629,linear,0.2295656560360218
29,0.9629629629629629,linear,0.2295656560360218
30,0.9629629629629629,linear,0.2295656560360218
31,0.9629629629629629,linear,0.2295656560360218
32,0.9629629629629629,linear,0.2295656560360218
33,0.9629629629629629,linear,0.2295656560360218
34,0.9629629629629629,linear,0.2295656560360218
35,0.9629629629629629,linear,0.2295656560360218
36,0.9629629629629629,linear,0.2295656560360218
37,0.9629629629629629,linear,0.2295656560360218
38,0.9629629629629629,linear,0.2295656560360218
39,0.9629629629629629,linear,0.2295656560360218
40,0.9629629629629629,linear,0.2295656560360218
41,0.9629629629629629,linear,0.2295656560360218
42,0.9629629629629629,linear,0.2295656560360218
43,0.9629629629629629,linear,0.2295656560360218
44,0.9629629629629629,linear,0.2295656560360218
45,0.9629629629629629,linear,0.2295656560360218
46,0.9629629629629629,linear,0.2295656560360218
47,0.9629629629629629,linear,0.2295656560360218
48,0.9629629629629629,linear,0.2295656560360218
49,0.9629629629629629,linear,0.2295656560360218
50,0.9629629629629629,linear,0.2295656560360218
51,0.9629629629629629,linear,0.2295656560360218
52,0.9629629629629629,linear,0.2295656560360218
53,0.9629629629629629,linear,0.2295656560360218
54,0.9629629629629629,linear,0.2295656560360218
55,0.9629629629629629,linear,0.2295656560360218
56,0.9629629629629629,linear,0.2295656560360218
57,0.9629629629629629,linear,0.2295656560360218
58,0.9629629629629629,linear,0.2295656560360218
59,0.9629629629629629,linear,0.2295656560360218
60,0.9629629629629629,linear,0.2295656560360218
61,0.9629629629629629,linear,0.2295656560360218
62,0.9629629629629629,linear,0.2295656560360218
63,0.9629629629629629,linear,0.2295656560360218
64,0.9629629629629629,linear,0.2295656560360218
65,0.9629629629629629,linear,0.2295656560360218
66,0.9629629629629629,linear,0.2295656560360218
67,0.9629629629629629,linear,0.2295656560360218
68,0.9629629629629629,linear,0.2295656560360218
69,0.9629629629629629,linear,0.2295656560360218
70,0.9629629629629629,linear,0.2295656560360218
71,0.9629629629629629,linear,0.2295656560360218
72,0.9629629629629629,linear,0.2295656560360218
73,0.9629629629629629,linear,0.2295656560360218
74,0.9629629629629629,linear,0.2295656560360218
75,0.9629629629629629,linear,0.2295656560360218
76,0.9629629629629629,linear,0.2295656560360218
77,0.9629629629629629,linear,0.2295656560360218
78,0.9629629629629629,linear,0.2295656560360218
79,0.9629629629629629,linear,0.2295656560360218
80,0.9629629629629629,linear,0.2295656560360218
81,0.9629629629629629,linear,0.2295656560360218
82,0.9629629629629629,linear,0.2295656560360218
83,0.9629629629629629,linear,0.2295656560360218
84,0.9629629629629629,linear,0.2295656560360218
85,0.9629629629629629,linear,0.2295656560360218
86,0.9629629629629629,linear,0.2295656560360218
87,0.9629629629629629,linear,0.2295656560360218
88,0.9629629629629629,linear,0.2295656560360218
89,0.9629629629629629,linear,0.2295656560360218
90,0.9629629629629629,linear,0.2295656560360218
91,0.9629629629629629,linear,0.2295656560360218
92,0.9629629629629629,linear,0.2295656560360218
93,0.9629629629629629,linear,0.2295656560360218
94,0.9629629629629629,linear,0.2295656560360218
95,0.9629629629629629,linear,0.2295656560360218
96,0.9629629629629629,linear,0.2295656560360218
97,0.9629629629629629,linear,0.2295656560360218
98,0.9629629629629629,linear,0.2295656560360218
99,0.9629629629629629,linear,0.2295656560360218
